filename,delimiter,multiline,file,nullVal,file_size,ignoreTrailing,source
survey_results_schema.csv,",",TRUE,csv,"""""",23kb,TRUE,https://www.kaggle.com/stackoverflow/so-survey-2017
datasets_517172_952401_train.csv,",",FALSE,csv,"""""",55kb,TRUE,https://www.kaggle.com/sovitrath/diabetic-retinopathy-224x224-gaussian-filtered
ability_ids.csv,",",FALSE,csv,"""""",19kb,TRUE,https://www.kaggle.com/devinanzelmo/dota-2-matches?select=ability_ids.csv
public-art.csv,;,TRUE,csv,"""""",669kb,TRUE,https://opendata.vancouver.ca/explore/dataset/public-art/export/
public-art-artists.csv,;,TRUE,csv,"""""",243kb,TRUE,https://opendata.vancouver.ca/explore/dataset/public-art-artists/export/
cultural-spaces.csv,;,FALSE,csv,"""""",359kb,TRUE,https://opendata.vancouver.ca/explore/dataset/cultural-spaces/export/?disjunctive.type&disjunctive.primary_use&disjunctive.ownership
schools.csv,;,FALSE,csv,"""""",30kb,TRUE,https://opendata.vancouver.ca/explore/dataset/schools/export/
libraries.csv,;,FALSE,csv,"""""",4kb,TRUE,https://opendata.vancouver.ca/explore/dataset/libraries/export/
animal-control-inventory-lost-and-found.csv,;,FALSE,csv,"""""",884kb,TRUE,https://opendata.vancouver.ca/explore/dataset/animal-control-inventory-lost-and-found/export/?disjunctive.breed&disjunctive.color
gvrd-sewer-trunk-mains.csv,;,FALSE,csv,"""""",865kb,TRUE,https://opendata.vancouver.ca/explore/dataset/gvrd-sewer-trunk-mains/export/
community-gardens-and-food-trees.csv,;,TRUE,csv,"""""",42kb,TRUE,https://opendata.vancouver.ca/explore/dataset/community-gardens-and-food-trees/export/
road-ahead-upcoming-projects.csv,;,TRUE,csv,"""""",34kb,TRUE,https://opendata.vancouver.ca/explore/dataset/road-ahead-upcoming-projects/export/
road-ahead-projects-under-construction.csv,;,TRUE,csv,"""""",152kb,TRUE,https://opendata.vancouver.ca/explore/dataset/road-ahead-projects-under-construction/export/
rental-standards-current-issues.csv,;,TRUE,csv,"""""",84kb,TRUE,https://opendata.vancouver.ca/explore/dataset/rental-standards-current-issues/export/
road-ahead-current-road-closures.csv,;,TRUE,csv,"""""",17kb,TRUE,https://opendata.vancouver.ca/explore/dataset/road-ahead-current-road-closures/export/
property-tie-lines.csv,;,FALSE,csv,"""""",482kb,TRUE,https://opendata.vancouver.ca/explore/dataset/property-tie-lines/export/
street-intersections.csv,;,FALSE,csv,"""""",809kb,TRUE,https://opendata.vancouver.ca/explore/dataset/street-intersections/export/
SCS_Staff_Salaries_data_30th_June 2010.csv,",",FALSE,csv,"""""",2kb,TRUE,https://data.gov.uk/dataset/2f40a2ff-8c76-4ab7-859e-0931c4db07d6/organogram-and-senior-staff-pay-data-for-ofgem
community-centres.csv,;,FALSE,csv,"""""",4kb,TRUE,https://opendata.vancouver.ca/explore/dataset/community-centres/export/
population-by-governorate-citizenship-and-gender.csv,;,FALSE,csv,"""""",19kb,TRUE,https://datasource.kapsarc.org/explore/dataset/population-by-governorate-citizenship-and-gender/export/?disjunctive.governorate&disjunctive.citizenship&disjunctive.gender&sort=time_period
population-census-of-botswana-2011.csv,;,FALSE,csv,"""""",6kb,TRUE,https://datasource.kapsarc.org/explore/dataset/population-census-of-botswana-2011/export/?disjunctive.region_name&disjunctive.sex_name
statewise-census-data-in-india-1901-2011.csv,;,FALSE,csv,"""""",415kb,TRUE,https://datasource.kapsarc.org/explore/dataset/statewise-census-data-in-india-1901-2011/export/?disjunctive.location_name&disjunctive.variable_name&sort=date
datasets_579296_1047868_authors.csv,",",FALSE,csv,"""""",6kb,TRUE,https://www.kaggle.com/lakritidis/identifying-influential-bloggers-techcrunch?select=authors.csv
currency_exchange.csv,",",FALSE,csv,"""""",14kb,TRUE,https://www.kaggle.com/andresionek/data-jobs-listings-glassdoor?select=currency_exchange.csv
glassdoor_wwfu_val_captions.csv,",",FALSE,csv,"""""",345kb,TRUE,https://www.kaggle.com/andresionek/data-jobs-listings-glassdoor?select=glassdoor_wwfu_val_captions.csv
eo_pr.csv,",",FALSE,csv,"""""",242kb,TRUE,https://www.kaggle.com/crawford/us-charities-and-nonprofits
eo_xx.csv,",",FALSE,csv,"""""",348kb,TRUE,https://www.kaggle.com/crawford/us-charities-and-nonprofits
eo4.csv,",",FALSE,csv,"""""",589kb,TRUE,https://www.kaggle.com/crawford/us-charities-and-nonprofits